prop_id,size_acres,size_square_feet,land_type_cd,land_soil_code,ag_use_cd,primary_use_cd
41127,.2847,12404.00,"9         ",None,,11
41128,.2892,12600.00,"9         ",None,,11
41129,.2848,12410.00,"9         ",None,,11
41130,.2894,12610.00,"9         ",None,,11
41131,.2819,12280.00,"9         ",None,,11
41134,.3814,16615.00,"9         ",None,,11
41135,.2892,12600.00,"9         ",None,,11
41136,.2894,12610.00,"9         ",None,,11
41137,.2715,11830.00,"9         ",None,,11
41138,.3298,14368.00,"9         ",None,,11
41139,.3506,15275.00,"9         ",None,,11
41140,.4350,18949.00,"9         ",None,,11
41141,.3380,14725.00,"9         ",None,,11
41142,.3357,14627.00,"9         ",None,,11
41143,.2854,12435.00,"9         ",None,,11
41144,.2854,12435.00,"9         ",None,,11
41145,.3364,14655.00,"9         ",None,,11
41146,.2964,12912.00,"9         ",None,,11
41147,.3107,13538.00,"9         ",None,,11
41148,.3441,14990.00,"9         ",None,,11
41149,.4577,19940.00,"9         ",None,,11
41151,.2737,11925.00,"9         ",None,,11
41156,.2850,12415.00,"9         ",None,,11
41157,.2984,13000.00,"9         ",None,,11
41160,.3549,15462.00,"9         ",None,,11
41161,.2771,12072.00,"9         ",None,,11
41162,.2984,13000.00,"9         ",None,,11
41163,.2852,12425.00,"9         ",None,,11
41164,.2809,12240.00,"9         ",None,,11
41165,.3447,15019.00,"9         ",None,,11
41166,.3445,15009.00,"9         ",None,,11
41167,.3800,16555.00,"9         ",None,,11
41168,.4367,19025.00,"9         ",None,,11
41169,.2926,12750.00,"9         ",None,,11
41172,.3971,17300.00,"9         ",None,,11
41173,.3843,16744.00,"9         ",None,,11
41174,.2980,12985.00,"9         ",None,,11
41175,.2812,12250.00,"9         ",None,,11
41176,.2869,12500.00,"9         ",None,,11
41177,.2823,12300.00,"9         ",None,,11
41178,1.0406,45330.00,"9         ",None,,18
41180,.6478,28221.00,"9         ",None,,11
41181,.7871,34287.00,"9         ",None,,11
41182,.6048,26347.00,"9         ",None,,11
41183,.8213,35780.00,"9         ",None,,11
